Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
1,Paytm Payments Bank,1363.19,99.65%,0.35%,0.01%,0.00%,
2,Yes Bank Ltd,811.13,99.92%,0.04%,0.03%,0.01%,
3,State Bank Of India,771.93,98.35%,0.29%,1.13%,0.23%,
4,Axis Bank Ltd,450.07,99.75%,0.17%,0.05%,0.03%,
5,ICICI Bank,432,99.42%,0.41%,0.09%,0.08%,
6,HDFC Bank Ltd,299.84,99.10%,0.79%,0.07%,0.04%,
7,Bank of Baroda,204.05,99.32%,0.34%,0.16%,0.19%,
8,Union Bank of India,197.66,99.46%,0.35%,0.13%,0.06%,
9,Canara Bank,146.64,96.56%,0.50%,2.48%,0.45%,
10,Punjab National Bank,144.15,98.62%,0.49%,0.64%,0.24%,
11,Kotak Mahindra Bank,127.46,98.22%,0.53%,0.76%,0.49%,
12,Bank of India,118.62,99.53%,0.28%,0.15%,0.04%,
13,Federal Bank,118,99.15%,0.19%,0.62%,0.05%,
14,Indian Bank,77.67,99.05%,0.31%,0.42%,0.22%,
15,IndusInd Bank,65.03,99.01%,0.37%,0.48%,0.14%,
16,Airtel Payments Bank,64.05,98.64%,0.37%,0.78%,0.21%,
17,Central Bank Of India,61.92,97.81%,0.58%,1.17%,0.44%,
18,IDBI Bank Limited,46.38,98.63%,1.16%,0.17%,0.04%,
19,Indian Overseas Bank,42.9,99.56%,0.35%,0.02%,0.07%,
20,UCO Bank,37.05,98.30%,0.52%,0.88%,0.30%,
21,Bank of Maharashtra,36.7,99.02%,0.26%,0.42%,0.30%,
22,India Post Payment Bank,34.53,98.29%,0.59%,0.92%,0.20%,
23,Karnataka Bank,29.4,94.52%,0.68%,3.78%,1.02%,
24,Karur Vysya Bank,23.22,99.34%,0.35%,0.27%,0.04%,
25,IDFC FIRST Bank,22.98,96.67%,1.05%,1.74%,0.54%,
26,South Indian Bank,17.22,97.21%,0.40%,2.33%,0.06%,
27,Bandhan Bank,16.78,97.46%,0.52%,1.88%,0.14%,
28,Fino Payments Bank,13.92,95.24%,2.39%,2.19%,0.18%,
29,AU small Finance Bank,13,97.46%,1.88%,0.48%,0.19%,
30,Citibank,12.03,99.24%,0.57%,0.20%,0.00%,
31,City Union Bank,11.37,98.62%,0.77%,0.54%,0.07%,
32,Tamilnad Mercantile Bank,9.61,98.72%,0.26%,0.72%,0.29%,
33,Equitas Small Finance Bank,9.41,97.94%,1.29%,0.64%,0.13%,
34,Ujjivan Small Finance Bank,9.4,94.32%,0.31%,4.54%,0.83%,
35,Pragathi Krishna Gramin Bank,8.2,95.70%,0.31%,2.92%,1.07%,
36,Andhra Pradesh Grameena Vikas Bank,7.55,93.36%,0.17%,5.46%,1.01%,
37,Punjab and Sind Bank,7.54,99.38%,0.31%,0.24%,0.07%,
38,Maharashtra Gramin Bank,6.84,94.21%,0.87%,4.74%,0.18%,
39,DBS Bank Ltd,6.59,98.38%,1.52%,0.04%,0.07%,
40,Jammu and Kashmir Bank,6.46,95.12%,2.00%,2.80%,0.08%,
41,Kerala Gramin Bank,5.92,97.64%,0.34%,1.46%,0.57%,
42,Saraswat Bank,5.58,98.57%,0.19%,1.14%,0.10%,
43,RBL Bank,5.39,96.72%,1.34%,1.85%,0.09%,
44,ESAF Small Finance Bank Ltd.,5.17,99.13%,0.25%,0.56%,0.06%,
45,Rajasthan Marudhara Gramin Bank,5.07,91.04%,2.20%,5.64%,1.12%,
46,Andhra Pragathi Grameena Bank,5.03,91.38%,0.20%,6.18%,2.24%,
47,Sarva Haryana Gramin Bank,4.42,86.49%,0.56%,10.70%,2.25%,
48,Baroda Rajasthan Kshetriya Gramin Bank,4.23,84.27%,1.94%,12.12%,1.67%,
49,Baroda UP Gramin Bank,4.13,91.79%,3.61%,4.36%,0.23%,
50,Standard Chartered,3.61,99.34%,0.37%,0.29%,0.01%,